-8.2202,-28.705,-8.6349,-13.392,-33.235,-32.737,-162.41,-53.704
-26.118,-95.06,-26.963,-47.041,-98.152,-96.512,-499.19,-153.48
-39.451,-123.59,-38.045,-69.854,-121.66,-119.4,-583.05,-186.49
-52.39,-128.43,-48.35,-86.573,-129.16,-126.6,-528.87,-198.93
-64.541,-130.78,-54.3,-94.752,-138.69,-136.43,-486.18,-215.32
-76.677,-129.61,-56.091,-94.141,-151.38,-149.97,-451.06,-237.68
-90.168,-129.13,-59.588,-94.522,-165.49,-164.8,-419.49,-261.02
-104.76,-129.41,-63.644,-95.231,-181.04,-180.98,-393.57,-285.45
-116.91,-129.75,-65.553,-94.83,-196.18,-196.45,-371.77,-308.25
-125.9,-130.02,-65.008,-92.897,-210.35,-210.63,-353.83,-328.69
-131.98,-130.02,-63.524,-89.696,-221.85,-222.2,-337.69,-346.11
-136.28,-129.71,-61.346,-85.469,-231.07,-231.5,-322.81,-360.78
-136.47,-129.07,-58.814,-79.943,-236.79,-237.33,-307.17,-371.05
-133.43,-128.89,-56.162,-73.453,-239.79,-240.46,-291.58,-377.71
-131.2,-129.37,-53.624,-66.908,-241.73,-242.57,-278.07,-382.45
-129.01,-130.15,-50.965,-60.137,-242.19,-243.27,-266.82,-385.02
-124.79,-129.67,-47.618,-53.188,-241.09,-242.21,-256.83,-384.19
-118.08,-127.72,-43.692,-46.297,-238.27,-239.24,-247.86,-380.11
-112.26,-125.97,-40.068,-40.411,-235.84,-236.67,-242.18,-376.06
-108.17,-124.83,-36.784,-35.274,-234.37,-235.01,-239.27,-372.66
-105.1,-123.6,-33.224,-30.225,-234.28,-234.68,-237.88,-370.14
-102.5,-122.05,-29.473,-25.327,-235.82,-236.06,-236.92,-369.52
-99.913,-120.25,-25.826,-20.76,-238.04,-238.28,-235.68,-370.53
-96.663,-117.84,-21.821,-16.339,-240.35,-240.62,-233.34,-371.6
-92.957,-115.11,-17.451,-11.875,-244.22,-244.59,-229.67,-373.01
